x,y,urban,alarm,firetype,heatsource,objignited,day,time,dayweek,label
7.838,11.563,1,1,5,NA,NA,1031,17.6,5,other
7.868,11.06,1,1,5,NA,NA,956,1.81666666666667,7,suspicious
7.732,10.413,1,1,5,NA,NA,1099,16.35,3,other
7.417,19.626,0,1,2,7,2,1059,21.4333333333333,5,other
8.502,11.588,1,3,3,7,7,1100,22.7333333333333,4,suspicious
8.129,11.718,1,1,5,NA,NA,1008,23.3833333333333,3,suspicious
8.114,12.018,1,1,3,6,7,1402,14.55,5,suspicious
7.751,10.905,1,1,5,NA,NA,1104,13,1,suspicious
8.141,11.328,1,1,2,7,9,907,2.76666666666667,7,suspicious
6.466,9.498,0,1,6,NA,NA,1098,15.9,2,suspicious
9.813,17.398,0,1,1,7,4,931,17.3333333333333,3,other
5.955,9.763,1,1,5,NA,NA,1020,13.0666666666667,1,other
7.304,8.902,1,1,5,NA,NA,1449,17,3,other
6.149,17.209,0,4,2,7,9,969,22.3666666666667,6,suspicious
10.248,16.617,0,1,1,7,7,735,10.8,3,other
3.687,9.647,0,3,5,NA,NA,1338,13.8166666666667,4,other
8.382,17.481,0,1,3,1,7,1021,19.7,2,other
6.917,11.181,1,1,3,NA,7,1046,1.65,6,suspicious
7.626,10.437,1,1,5,NA,NA,1316,22.25,3,other
7.564,12.348,1,1,5,NA,NA,1169,14.2,3,other
11.689,9.885,0,1,5,NA,NA,1241,16.55,5,other
12.753,9.309,0,1,2,2,8,1119,11.9666666666667,2,other
7.661,11.904,1,1,6,NA,NA,1347,20.25,6,other
7.593,11.991,1,1,5,NA,NA,1083,20.85,1,suspicious
7.352,11.711,1,1,4,2,6,1057,23.6333333333333,3,other
8.153,9.384,1,1,3,NA,7,1376,5.08333333333333,7,other
5.909,8.739,0,1,2,NA,NA,1078,21.3833333333333,3,suspicious
9.717,19.191,0,1,2,NA,NA,1175,19.1666666666667,2,other
9.991,10.366,0,1,2,NA,9,1408,22.4833333333333,4,suspicious
12.586,21.821,0,1,5,NA,NA,1413,13.5666666666667,2,other
6.504,9.792,1,1,3,NA,7,907,17.7166666666667,7,other
8.397,11.311,1,1,5,NA,NA,1224,15.1833333333333,2,other
8.156,11.209,1,1,3,7,7,1095,23.1833333333333,6,suspicious
6.796,10.768,1,1,1,5,3,896,10.9166666666667,3,other
8.042,9.851,1,1,6,NA,NA,822,11.6333333333333,6,other
5.671,12.72,0,1,5,NA,NA,1422,11.8333333333333,4,other
8.04,10.368,1,1,2,9,9,1412,3.46666666666667,1,other
6.95,12.065,1,1,5,NA,NA,1154,21.8166666666667,2,other
9.938,9.974,0,1,3,7,7,1068,1.35,7,suspicious
3.721,10.122,0,3,5,NA,NA,1081,14.55,6,other
6.286,11.724,1,1,3,7,7,1066,22.7166666666667,5,suspicious
9.083,11.479,1,1,1,5,3,1449,7.2,3,other
7.995,10.105,1,3,3,7,7,1326,1.08333333333333,6,suspicious
6.011,9.385,0,1,5,NA,NA,1160,13.2,1,other
7.751,10.905,1,1,5,NA,NA,837,16.1666666666667,7,suspicious
7.846,9.423,1,1,6,NA,NA,1022,19.5833333333333,3,other
